Tweet	Cleaned_Text	Sentiment
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !'	['cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego']	negative
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga'	['telat tau edan sarap gue gaul cigax jifla cal licew']	negative
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU'	['ku tau mata sipit']	positive
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah'	['kaum cebong kafir dongok dungu haha']	negative
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84'	['ya bani taplak kawan kawan xf0 x9f x98 x84 xf0 x9f x98 x84 xf0 x9f x98 x84']	negative
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon	['deklarasi pilih kepala daerah 2018 aman anti hoaks warga dukuh sari jabon']	neutral
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL	['gue selesai re watch aldnoah zero kampret 2 karakter utama cowok kena friendzone bro xd uniform resource locator']	negative
Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???,0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;	['admin belanja po baik nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak me uaku taipan 2 kembar baby amp romantika bank islam senawang 0 0 0 0 0 0 0 0 0 0 0 0']	negative
USER Enak lg klo smbil ngewe'	['enak ngewe']	positive
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL	['banci kaleng malu pe anyaan 2 nyungsep koe uniform resource locator']	negative
