text	label
duh . jadi mahasiswa jangan sombong dong . kasih kartu kuning segala . belajar dulu yang baik , tidak usahlah ikut-ikut politik . nanti sudah selesai kuliah nya mau ikut politik juga tidak telat . dasar mahasiswa .	negative
pakai kartu kredit bca tidak untung malah rugi besar	negative
simcard indosat inaktiv gara-gara lupa isi pulsa dan kabar nya aktif jika pinda ke pasca bayar , ribet banget	negative
sifat iri sering muncul pada orang orang yang tidak punya tujuan hidup	negative
pengalaman bersama indosat hari ini , semoga tidak terjadi pada pelanggan lain . sempat sampai marah-marah dengan pelayanan pelanggan indosat	negative
anak sekarang sulit untuk dinasehati	negative
hanya mengatasi masalah kayak gini saja anies sandi tidak becus . ke mana saja pasukan kebersihan yang begitu banyak jumlah nya ?	negative
alhamdulillah hari ini tidak ke jalan bugel agak kesal juga kalau tiap hari lewat sana melulu . sempit , dua arah , macet sudah jadi makanan sehari-hari	negative
respon agak lama , sama sayang nya rem nya bukan asli , masih rom distrobitor	negative
malu - maluin nih oknum yang tidak bertanggung jawab .	negative
makan siang di sini asyik juga . nuansa bali walaupun music nya musik sunda kadang musik khas bali bergantian . tempat nya enak dan adem tapi sayang sekali pesan kopi lama banget datang nya , diminta berkali kali , iya pak iya pak hampir 1 jam dan ketika kopi datang pun bukan kopi panas tapi kopi ade , ini kah ciri khas kopi di sini . kalau khas nya kopi dingin tidak enak .	negative
tidak memuaskan	negative
suruh ngaca pemain nya ! dasar oneng ! ngomong saja masih ala betawi lu ! kampungan !	negative
kafe ini menyajikan sensasi makan dalam gelap . cukup unik sih , tetapi lebih dari sekali , rasanya orang jarang datang lagi . hanya menarik untuk sekadar mencoba .	negative
selamat pagi . wah kecewa berat masa indihome internet tidak kocek lagi . saya itu bayar mahal . jangan kecewakan kami sebagai pelanggan	negative
nkri bersyariah , fpi , revolusi akhlaq , suara keadilan , __laugh__ semua pada tersandung kasus , fpi , ulama nya tersandung obrolan mesum tidak berani pulang , nkri bersyariah , berarti tidak mengamalkan pancasila , sungguh miris ,	negative
bikin macet saja nih orang	negative
sampai kapan pun saya tidak akan memilih orang pengecut seperti prabowo . menurut saya , dia tidak pantas memimpin negara .	negative
jangan terlalu banyak iklan , perbaiki dulu jaringan kalian yang lamban	negative
kalau orang tiongkok masuk indonesia baru bisa maju , kalau andalkan orang pribumi otak nya jongkok	negative
sok pencitraan sekali , basi sama gaya lu . lebih wibawa yang seragam coklat top deh buat pak anies .	negative
sangat melelahkan malam ini .	negative
marah	negative
tidak dong . aku pilih sby , eh pilih prabowo maksude . dan yang akan datang aku pilih yang selain jokowi seperti biasanya yang selain dari partai banteng moncong tepung . grinningfacewithsmilingeyes	negative
